,Movie name,Overview,Release_date,Rating,Genres,Runtime,Director,Language,Certification,Budget,Revenue,Url
0,Sonic the Hedgehog 2 (2022),"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",04/08/2022,78.0,"Action,Science Fiction,Comedy,Family,Adventure"," 2h 2m
",Jeff Fowler,English,PG,"$110,000,000.00","$349,000,000.00",https://www.themoviedb.org/movie/675353-sonic-the-hedgehog-2
1,Doctor Strange in the Multiverse of Madness (2022),"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",05/06/2022,76.0,"Fantasy,Action,Adventure"," 2h 6m
",Sam Raimi,English,PG-13,"$200,000,000.00","$450,000,000.00",https://www.themoviedb.org/movie/453395-doctor-strange-in-the-multiverse-of-madness
2,Uncharted (2022),"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",02/18/2022,72.0,"Action,Adventure", 1h 56m,Ruben Fleischer,English,PG-13,"$120,000,000.00","$395,124,202.00",https://www.themoviedb.org/movie/335787-uncharted
3,The Batman (2022),"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",03/04/2022,78.0,"Crime,Mystery,Thriller", 2h 56m,Matt Reeves,English,UA,"$185,000,000.00","$764,573,021.00",https://www.themoviedb.org/movie/414906-the-batman
4,Spider-Man: No Way Home (2021),"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",12/17/2021,81.0,"Action,Adventure,Science Fiction", 2h 28m,Jon Watts,English,PG-13,"$200,000,000.00","$1,892,000,000.00",https://www.themoviedb.org/movie/634649-spider-man-no-way-home
5,Ambulance (2022),"Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million.",04/08/2022,70.0,"Action,Thriller,Crime", 2h 16m,Michael Bay,English,R,"$40,000,000.00","$50,254,920.00",https://www.themoviedb.org/movie/763285-ambulance
6,Turning Red (2022),"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",03/10/2022,74.0,"Animation,Family,Comedy,Fantasy", 1h 40m,Domee Shi,English,PG,"$190,000,000.00","$17,185,000.00",https://www.themoviedb.org/movie/508947-turning-red
7,The Bad Guys (2022),"When the infamous Bad Guys are finally caught after years of countless heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.",04/22/2022,78.0,"Animation,Comedy,Action,Family,Crime", 1h 40m,Pierre Perifel,English,PG,"$80,000,000.00","$148,144,485.00",https://www.themoviedb.org/movie/629542-the-bad-guys
8,Virus:32 (2022),A virus is unleashed and a chilling massacre runs through the streets of Montevideo.,04/21/2022,67.0,Horror, 1h 30m,Gustavo Hernández,Castilian,Not mentioned,-,-,https://www.themoviedb.org/movie/893370-virus-32
9,Doctor Strange (2016),"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",11/04/2016,74.0,"Action,Adventure,Fantasy,Science Fiction", 1h 55m,Scott Derrickson,English,UA,"$165,000,000.00","$677,700,000.00",https://www.themoviedb.org/movie/284052-doctor-strange
10,365 Days: This Day (2022),"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",04/27/2022,57.0,"Romance,Drama", 1h 51m,"Tomasz Mandes , Barbara Bialowas",Polish,16,-,-,https://www.themoviedb.org/movie/829557-365-days-this-day
11,The Outfit (2022),"Leonard is an English tailor who used to craft suits on London’s world-famous Savile Row. After a personal tragedy, he’s ended up in Chicago, operating a small tailor shop in a rough part of town where he makes beautiful clothes for the only people around who can afford them: a family of vicious gangsters.",03/18/2022,70.0,"Drama,Thriller,Crime", 1h 45m,Graham Moore,English,R,-,"$3,186,865.00",https://www.themoviedb.org/movie/799876-the-outfit
12,Moonfall (2022),A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.,02/04/2022,65.0,"Science Fiction,Adventure,Action", 2h 10m,Roland Emmerich,English,PG-13,"$146,000,000.00","$43,900,000.00",https://www.themoviedb.org/movie/406759-moonfall
13,Encanto (2021),"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",11/24/2021,77.0,"Animation,Comedy,Family,Fantasy", 1h 42m,"Jared Bush , Byron Howard",English,PG,"$50,000,000.00","$253,000,000.00",https://www.themoviedb.org/movie/568124-encanto
