,Movie name,Rating,Genres,Release_date,Runtime,Director,Url
0,Sonic the Hedgehog 2 (2022),78.0,"Action,Science Fiction,Comedy,Family,Adventure",04/08/2022,              2h 2m          ,Jeff Fowler,https://www.themoviedb.org/movie/675353-sonic-the-hedgehog-2
1,Doctor Strange in the Multiverse of Madness (2022),76.0,"Fantasy,Action,Adventure",05/06/2022,              2h 6m          ,Sam Raimi,https://www.themoviedb.org/movie/453395-doctor-strange-in-the-multiverse-of-madness
2,Uncharted (2022),72.0,"Action,Adventure",02/18/2022,              1h 56m          ,Ruben Fleischer,https://www.themoviedb.org/movie/335787-uncharted
3,The Batman (2022),78.0,"Crime,Mystery,Thriller",03/04/2022,              2h 56m          ,Matt Reeves,https://www.themoviedb.org/movie/414906-the-batman
4,Spider-Man: No Way Home (2021),81.0,"Action,Adventure,Science Fiction",12/17/2021,              2h 28m          ,Jon Watts,https://www.themoviedb.org/movie/634649-spider-man-no-way-home
5,Ambulance (2022),70.0,"Action,Thriller,Crime",04/08/2022,              2h 16m          ,Michael Bay,https://www.themoviedb.org/movie/763285-ambulance
6,Turning Red (2022),74.0,"Animation,Family,Comedy,Fantasy",03/10/2022,              1h 40m          ,Domee Shi,https://www.themoviedb.org/movie/508947-turning-red
7,The Bad Guys (2022),78.0,"Animation,Comedy,Action,Family,Crime",04/22/2022,              1h 40m          ,Pierre Perifel,https://www.themoviedb.org/movie/629542-the-bad-guys
8,Virus:32 (2022),67.0,Horror,04/21/2022,              1h 30m          ,Gustavo Hernández,https://www.themoviedb.org/movie/893370-virus-32
9,Doctor Strange (2016),74.0,"Action,Adventure,Fantasy,Science Fiction",11/04/2016,              1h 55m          ,Scott Derrickson,https://www.themoviedb.org/movie/284052-doctor-strange
10,365 Days: This Day (2022),57.0,"Romance,Drama",04/27/2022,              1h 51m          ,"Tomasz Mandes , Barbara Bialowas",https://www.themoviedb.org/movie/829557-365-days-this-day
11,The Outfit (2022),70.0,"Drama,Thriller,Crime",03/18/2022,              1h 45m          ,Graham Moore,https://www.themoviedb.org/movie/799876-the-outfit
12,Moonfall (2022),65.0,"Science Fiction,Adventure,Action",02/04/2022,              2h 10m          ,Roland Emmerich,https://www.themoviedb.org/movie/406759-moonfall
13,Encanto (2021),77.0,"Animation,Comedy,Family,Fantasy",11/24/2021,              1h 42m          ,"Jared Bush , Byron Howard",https://www.themoviedb.org/movie/568124-encanto
14,¡Qué despadre! (2022),81.0,"Comedy,Family,Romance",02/09/2022,              1h 39m          ,Pedro Pablo Ibarra,https://www.themoviedb.org/movie/937337-que-despadre
15,Yaksha: Ruthless Operations (2022),62.0,Action,04/08/2022,              2h 5m          ,Na Hyun,https://www.themoviedb.org/movie/606402
16,The Grandmother (2022),60.0,Horror,01/28/2022,              1h 40m          ,Paco Plaza,https://www.themoviedb.org/movie/661791-la-abuela
17,All the Old Knives (2022),60.0,"Thriller,Action",04/08/2022,              1h 42m          ,Janus Metz Pedersen,https://www.themoviedb.org/movie/294793-all-the-old-knives
18,Hotel Transylvania: Transformania (2022),71.0,"Animation,Family,Fantasy,Comedy,Adventure",02/25/2022,              1h 27m          ,"Derek Drymon , Jennifer Kluska",https://www.themoviedb.org/movie/585083-hotel-transylvania-transformania
19,Blacklight (2022),62.0,"Action,Thriller",02/10/2022,              1h 44m          ,Mark Williams,https://www.themoviedb.org/movie/823625-blacklight
20,The Adam Project (2022),70.0,"Action,Adventure,Comedy,Science Fiction",03/11/2022,              1h 46m          ,Shawn Levy,https://www.themoviedb.org/movie/696806-the-adam-project
21,My Hero Academia: World Heroes' Mission (2021),74.0,"Animation,Action,Fantasy,Adventure",08/06/2021,              1h 45m          ,Kenji Nagasaki,https://www.themoviedb.org/movie/768744-the-movie
22,Silverton Siege (2022),66.0,"Action,Crime,Drama",04/27/2022,              1h 40m          ,"Mandlakayise Walter Dube, Jr.",https://www.themoviedb.org/movie/951470-silverton-siege
23,War of the Worlds: Annihilation (2021),56.0,"Science Fiction,Action",12/22/2021,              1h 53m          ,Maximilian Elfeldt,https://www.themoviedb.org/movie/919689-war-of-the-worlds-annihilation
24,The Ice Age Adventures of Buck Wild (2022),69.0,"Animation,Comedy,Adventure,Family",01/28/2022,              1h 22m          ,John C. Donkin,https://www.themoviedb.org/movie/774825-the-ice-age-adventures-of-buck-wild
25,The eighth clause (2022),41.0,Thriller,04/29/2022,0,Koko Stambuk,https://www.themoviedb.org/movie/956101-la-octava-clausula
26,Black Crab (2022),62.0,"Action,Thriller",03/18/2022,              1h 49m          ,Adam Berg,https://www.themoviedb.org/movie/760868-svart-krabba
27,Venom: Let There Be Carnage (2021),70.0,"Science Fiction,Action,Adventure",10/01/2021,              1h 37m          ,Andy Serkis,https://www.themoviedb.org/movie/580489-venom-let-there-be-carnage
28,Fantastic Beasts: The Secrets of Dumbledore (2022),68.0,"Fantasy,Adventure",04/08/2022,              2h 22m          ,David Yates,https://www.themoviedb.org/movie/338953-fantastic-beasts-the-secrets-of-dumbledore
29,Sing 2 (2021),81.0,"Animation,Comedy,Family,Music",12/22/2021,              1h 50m          ,David Yates,https://www.themoviedb.org/movie/438695-sing-2
